,Unnamed: 0,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,DESCRIPTION,MANUFACTURER,CATEGORY,SUB_CATEGORY,PRODUCT_SIZE,STORE_ID,STORE_NAME,ADDRESS_CITY_NAME,ADDRESS_STATE_PROV_CODE,MSA_CODE,SEG_VALUE_NAME,PARKING_SPACE_QTY,SALES_AREA_SIZE_NUM,AVG_WEEKLY_BASKETS
12,12,2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,367,15TH & MADISON,COVINGTON,KY,17140,VALUE,196.0,24721,12706.532051
48,48,2009-01-14,387,1600027527,74,65,65,226.44,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,387,TOWN & COUNTRY,KETTERING,OH,19380,UPSCALE,270.0,44547,22867.326923
95,95,2009-01-14,389,1600027527,52,51,51,156.51999999999998,3.01,3.01,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,389,SILVERLAKE,ERLANGER,KY,17140,MAINSTREAM,408.0,46073,24766.807692
139,139,2009-01-14,613,1600027527,47,44,44,149.93,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,613,EAST ALLEN,ALLEN,TX,19100,MAINSTREAM,464.0,64926,29386.416667
181,181,2009-01-14,623,1600027527,57,55,54,181.83,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,623,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,46930,36740.692308
221,221,2009-01-14,2277,1600027527,125,114,112,360.0,2.88,2.88,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2277,ANDERSON TOWNE CTR,CINCINNATI,OH,17140,UPSCALE,,81958,54052.519231
269,269,2009-01-14,2279,1600027527,36,35,34,105.12,2.92,2.92,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2279,MILFORD-MULBERRY,MILFORD,OH,17140,MAINSTREAM,771.0,44175,23037.442308
313,313,2009-01-14,2281,1600027527,53,51,51,153.17000000000002,2.89,2.89,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2281,BLUE ASH,BLUE ASH,OH,17140,UPSCALE,,68500,32297.288462
361,361,2009-01-14,2495,1600027527,37,36,36,118.03,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2495,PLANTATION PLAZA,CLUTE,TX,26420,MAINSTREAM,407.0,48462,25507.448718
397,397,2009-01-14,2505,1600027527,22,22,22,67.1,3.05,3.05,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2505,DICKINSON VILLAGE,DICKINSON,TX,26420,MAINSTREAM,319.0,41644,14460.108974
435,435,2009-01-14,2513,1600027527,122,119,115,389.18,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2513,HOUSTON,HOUSTON,TX,26420,UPSCALE,,61833,32422.99359
474,474,2009-01-14,2523,1600027527,30,29,28,92.4,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2523,LANDMARK PLACE S/C,GRAND PRAIRIE,TX,19100,VALUE,252.0,34373,14201.326923
508,508,2009-01-14,2541,1600027527,14,12,12,44.66,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2541,NORWOOD,ARLINGTON,TX,19100,MAINSTREAM,300.0,29231,11019.352564
545,545,2009-01-14,4245,1600027527,40,38,38,124.4,3.11,3.11,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4245,LAWRENCEBURG,LAWRENCEBURG,IN,17140,MAINSTREAM,,58563,19274.673077
593,593,2009-01-14,4259,1600027527,20,20,20,60.8,3.04,3.04,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4259,WARSAW AVENUE,CINCINNATI,OH,17140,VALUE,,48813,31177.333333
631,631,2009-01-14,4489,1600027527,56,56,55,172.48000000000002,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4489,SWEETWATER PLAZA,SUGAR LAND,TX,26420,UPSCALE,,49030,21344.794872
671,671,2009-01-14,4503,1600027527,69,66,63,217.35,3.15,3.15,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4503,ROCKWALL,ROCKWALL,TX,19100,UPSCALE,,56230,25289.326923
713,713,2009-01-14,4521,1600027527,16,16,12,51.04,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4521,PARKWAY SQUARE S/C,COLLEGE STATION,TX,17780,MAINSTREAM,418.0,34628,25632.807692
750,750,2009-01-14,6179,1600027527,65,62,62,185.25,2.85,2.85,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,6179,DEERFIELD TWP,MASON,OH,17140,UPSCALE,,54448,35287.974359
795,795,2009-01-14,6187,1600027527,32,30,29,92.8,2.9,2.9,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,6187,ST. MARYS,SAINT MARYS,OH,47540,MAINSTREAM,,55474,20015.320513
836,836,2009-01-14,6379,1600027527,57,51,51,172.14,3.02,3.02,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,6379,KINGWOOD,KINGWOOD,TX,26420,MAINSTREAM,,50237,20620.423077
877,877,2009-01-14,6431,1600027527,30,29,29,95.7,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,6431,AT WARD ROAD,BAYTOWN,TX,26420,VALUE,350.0,43698,24321.942308
916,916,2009-01-14,8035,1600027527,5,5,5,15.95,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,8035,OVER-THE-RHINE,CINCINNATI,OH,17140,VALUE,17.0,10788,10434.705128
942,942,2009-01-14,8041,1600027527,14,14,14,41.44,2.96,2.96,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,8041,LANDEN,MAINEVILLE,OH,17140,MAINSTREAM,1200.0,49074,14848.788462
987,987,2009-01-14,8263,1600027527,45,43,43,140.4,3.12,3.12,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,8263,THE WOODLANDS,THE WOODLANDS,TX,26420,UPSCALE,,51055,18876.99359
1028,1028,2009-01-14,9825,1600027527,97,91,91,296.82,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,9825,DENT,CINCINNATI,OH,17140,MAINSTREAM,,54124,29915.903846
1074,1074,2009-01-14,10019,1600027527,24,24,24,73.44,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,10019,AT EASTEX FRWY,HOUSTON,TX,26420,VALUE,221.0,35675,19067.673077
1111,1111,2009-01-14,11757,1600027527,40,38,38,127.6,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,11757,INDEPENDENCE,INDEPENDENCE,KY,17140,MAINSTREAM,,32943,16903.532051
1153,1153,2009-01-14,11761,1600027527,42,41,40,130.62,3.11,3.11,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,11761,MIAMI TOWNSHIP,LOVELAND,OH,17140,UPSCALE,,53905,23348.064103
1195,1195,2009-01-14,11967,1600027527,27,27,27,86.13,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,11967,NORTHBOROUGH SQ,HOUSTON,TX,26420,VALUE,294.0,25072,15915.74359
1230,1230,2009-01-14,11993,1600027527,84,77,75,258.72,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,11993,DALLAS,DALLAS,TX,19100,UPSCALE,,57741,26100.711538
1270,1270,2009-01-14,12011,1600027527,30,29,28,92.4,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,12011,SHERMAN,SHERMAN,TX,43300,MAINSTREAM,,41325,23152.782051
1307,1307,2009-01-14,13609,1600027527,45,48,45,137.25,3.05,3.05,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,13609,VANDALIA,VANDALIA,OH,19380,MAINSTREAM,,55663,21232.115385
1355,1355,2009-01-14,13827,1600027527,43,43,42,114.38,2.66,2.66,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,13827,BEAUMONT,BEAUMONT,TX,13140,MAINSTREAM,,50766,26000.570513
1393,1393,2009-01-14,13837,1600027527,39,34,34,124.41,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,13837,MAGNOLIA,MAGNOLIA,TX,26420,MAINSTREAM,,49164,27261.865385
1433,1433,2009-01-14,13853,1600027527,30,28,28,89.4,2.98,2.98,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,13853,RICHARDSON,RICHARDSON,TX,19100,MAINSTREAM,,53586,15787.391026
1471,1471,2009-01-14,13859,1600027527,45,42,42,143.55,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,13859,MCKINNEY,MCKINNEY,TX,19100,MAINSTREAM,,47824,15345.237179
1510,1510,2009-01-14,15531,1600027527,13,13,13,41.47,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,15531,GOSHEN,GOSHEN,OH,17140,VALUE,,33667,13344.0
1551,1551,2009-01-14,15541,1600027527,22,22,22,65.78,2.99,2.99,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,15541,LOVELAND,LOVELAND,OH,17140,MAINSTREAM,326.0,38858,18664.525641
1595,1595,2009-01-14,15547,1600027527,52,51,51,160.16,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,15547,WOODLAWN,CINCINNATI,OH,17140,MAINSTREAM,,48132,27357.570513
1642,1642,2009-01-14,15755,1600027527,20,19,19,60.6,3.03,3.03,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,15755,KROGER JUNCTION S/C,PASADENA,TX,26420,VALUE,351.0,34373,18291.429487
1673,1673,2009-01-14,15763,1600027527,28,28,28,89.32,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,15763,WOODLANDS,WOODLANDS,TX,26420,UPSCALE,,47530,12175.846154
1710,1710,2009-01-14,15765,1600027527,46,46,46,140.29999999999998,3.05,3.05,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,15765,CYPRESS TOWN CENTER,HOUSTON,TX,26420,MAINSTREAM,,49068,25350.858974
1749,1749,2009-01-14,17599,1600027527,26,23,23,82.94,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,17599,KEARNEY,MESQUITE,TX,19100,VALUE,300.0,36994,15134.025641
1784,1784,2009-01-14,17615,1600027527,43,40,39,137.17,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,17615,SUGARLAND,SUGAR LAND,TX,26420,MAINSTREAM,,48632,32490.858974
1821,1821,2009-01-14,17627,1600027527,53,50,49,165.89,3.13,3.13,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,17627,FLOWER MOUND,FLOWER MOUND,TX,19100,UPSCALE,513.0,59213,18196.820513
1863,1863,2009-01-14,19265,1600027527,48,45,45,140.16,2.92,3.19,0,1,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,19265,LATONIA,COVINGTON,KY,17140,MAINSTREAM,,55685,31578.134615
1909,1909,2009-01-14,19521,1600027527,32,29,28,102.08,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,19521,SOUTHLAKE,SOUTHLAKE,TX,19100,UPSCALE,,47757,14051.608974
1950,1950,2009-01-14,19523,1600027527,57,54,54,175.56,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,19523,DUNCANVILLE,DUNCANVILLE,TX,19100,VALUE,400.0,48594,24567.75
1989,1989,2009-01-14,19533,1600027527,42,42,41,127.68,3.04,3.04,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,19533,DENTON,DENTON,TX,19100,MAINSTREAM,,48330,28243.333333
2030,2030,2009-01-14,21213,1600027527,22,18,18,67.1,3.05,3.05,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,21213,MT. CARMEL,CINCINNATI,OH,17140,MAINSTREAM,,46630,14511.788462
2076,2076,2009-01-14,21221,1600027527,20,20,20,60.6,3.03,3.03,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,21221,MIDDLETOWN,MIDDLETOWN,OH,17140,VALUE,,48128,17009.897436
2119,2119,2009-01-14,21227,1600027527,54,51,51,159.3,2.95,2.95,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,21227,LIBERTY TWP,MIDDLETOWN,OH,17140,UPSCALE,,85710,34874.5
2165,2165,2009-01-14,21237,1600027527,61,58,58,188.49,3.09,3.09,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,21237,LEBANON,LEBANON,OH,17140,MAINSTREAM,,86517,38465.128205
2213,2213,2009-01-14,21479,1600027527,51,51,51,156.06,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,21479,WOOD FOREST S/C,HOUSTON,TX,26420,VALUE,,49104,29435.628205
2249,2249,2009-01-14,21485,1600027527,29,29,29,89.32000000000001,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,21485,HOUSTON,KATY,TX,26420,MAINSTREAM,,46369,26472.237179
2285,2285,2009-01-14,23055,1600027527,16,13,12,51.04,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23055,WALNUT HILLS/PEEBLES,CINCINNATI,OH,17140,VALUE,239.0,22920,12999.724359
2319,2319,2009-01-14,23061,1600027527,43,36,36,130.72,3.04,3.04,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23061,LIBERTY TWP.,HAMILTON,OH,17140,MAINSTREAM,,42437,16591.301282
2366,2366,2009-01-14,23067,1600027527,37,34,33,102.12,2.76,3.19,0,0,1,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23067,WHIPP & BIGGER,KETTERING,OH,19380,MAINSTREAM,230.0,37319,14555.935897
2408,2408,2009-01-14,23075,1600027527,43,39,39,124.27,2.89,2.89,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23075,TYLERSVILLE,WEST CHESTER,OH,17140,MAINSTREAM,564.0,51105,18842.429487
2454,2454,2009-01-14,23327,1600027527,33,33,33,95.7,2.9,2.9,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23327,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,50722,30258.173077
2493,2493,2009-01-14,23345,1600027527,46,45,44,146.74,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23345,FRISCO,FRISCO,TX,19100,UPSCALE,,46369,21946.846154
2529,2529,2009-01-14,23349,1600027527,26,26,26,82.94,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,23349,GARLAND,GARLAND,TX,19100,VALUE,,46212,27822.608974
2569,2569,2009-01-14,24991,1600027527,116,111,109,353.79999999999995,3.05,3.05,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,24991,HYDE PARK,CINCINNATI,OH,17140,UPSCALE,1859.0,77730,50618.99359
2616,2616,2009-01-14,25001,1600027527,27,27,27,86.13,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25001,PINEWOOD,DAYTON,OH,19380,VALUE,351.0,34177,18034.967949
2657,2657,2009-01-14,25021,1600027527,33,29,28,105.27,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25021,HAMILTON,HAMILTON,OH,17140,VALUE,1441.0,62961,34191.00641
2705,2705,2009-01-14,25027,1600027527,70,65,65,200.9,2.87,2.87,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25027,CINCINNATI,CINCINNATI,OH,17140,MAINSTREAM,,62656,43892.923077
2752,2752,2009-01-14,25229,1600027527,65,64,64,204.1,3.14,3.14,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25229,CYPRESS,CYPRESS,TX,26420,MAINSTREAM,,59241,34977.435897
2792,2792,2009-01-14,25233,1600027527,31,31,31,95.79,3.09,3.09,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25233,ANTOINE TOWN CENTER,HOUSTON,TX,26420,VALUE,,46369,35788.032051
2831,2831,2009-01-14,25253,1600027527,24,23,23,73.44,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25253,HIGHWAY 75,MCKINNEY,TX,19100,MAINSTREAM,,33931,11934.012821
2866,2866,2009-01-14,25261,1600027527,48,46,46,146.88,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,25261,CROWLEY,CROWLEY,TX,19100,MAINSTREAM,,46368,26189.012821
2905,2905,2009-01-14,26973,1600027527,35,33,33,105.35,3.01,3.01,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,26973,MAINEVILLE,MAINEVILLE,OH,17140,MAINSTREAM,,48128,28241.012821
2952,2952,2009-01-14,26981,1600027527,46,45,44,138.92,3.02,3.02,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,26981,SPRINGFIELD,SPRINGFIELD,OH,44220,MAINSTREAM,,42081,25122.442308
2999,2999,2009-01-14,26983,1600027527,74,72,71,229.4,3.1,3.1,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,26983,DAYTON,DAYTON,OH,19380,VALUE,,48782,31461.224359
3039,3039,2009-01-14,27175,1600027527,40,37,37,124.4,3.11,3.11,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,27175,KATY,KATY,TX,26420,UPSCALE,,50224,24901.948718
3081,3081,2009-01-14,28909,1600027527,47,46,46,140.06,2.98,2.98,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,28909,MIDDLETOWN,MIDDLETOWN,OH,17140,MAINSTREAM,,85876,28986.108974
3129,3129,2009-01-14,29159,1600027527,61,56,53,185.44,3.04,3.04,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,29159,CARROLLTON,CARROLLTON,TX,19100,MAINSTREAM,,54927,25916.532051
3169,3169,2009-01-21,367,1600027527,7,7,7,22.33,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,367,15TH & MADISON,COVINGTON,KY,17140,VALUE,196.0,24721,12706.532051
3205,3205,2009-01-21,387,1600027527,42,39,39,131.46,3.13,3.13,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,387,TOWN & COUNTRY,KETTERING,OH,19380,UPSCALE,270.0,44547,22867.326923
3250,3250,2009-01-21,389,1600027527,62,59,58,197.78,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,389,SILVERLAKE,ERLANGER,KY,17140,MAINSTREAM,408.0,46073,24766.807692
3296,3296,2009-01-21,613,1600027527,39,35,35,124.41,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,613,EAST ALLEN,ALLEN,TX,19100,MAINSTREAM,464.0,64926,29386.416667
3338,3338,2009-01-21,623,1600027527,34,34,33,108.46,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,623,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,46930,36740.692308
3379,3379,2009-01-21,2277,1600027527,97,94,91,309.43,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2277,ANDERSON TOWNE CTR,CINCINNATI,OH,17140,UPSCALE,,81958,54052.519231
3427,3427,2009-01-21,2279,1600027527,29,27,27,92.51,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2279,MILFORD-MULBERRY,MILFORD,OH,17140,MAINSTREAM,771.0,44175,23037.442308
3470,3470,2009-01-21,2281,1600027527,50,48,48,159.5,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2281,BLUE ASH,BLUE ASH,OH,17140,UPSCALE,,68500,32297.288462
3518,3518,2009-01-21,2495,1600027527,25,24,24,79.75,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2495,PLANTATION PLAZA,CLUTE,TX,26420,MAINSTREAM,407.0,48462,25507.448718
3553,3553,2009-01-21,2505,1600027527,23,19,19,73.37,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2505,DICKINSON VILLAGE,DICKINSON,TX,26420,MAINSTREAM,319.0,41644,14460.108974
3587,3587,2009-01-21,2513,1600027527,93,90,88,296.67,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2513,HOUSTON,HOUSTON,TX,26420,UPSCALE,,61833,32422.99359
3627,3627,2009-01-21,2523,1600027527,15,15,15,47.85,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2523,LANDMARK PLACE S/C,GRAND PRAIRIE,TX,19100,VALUE,252.0,34373,14201.326923
3660,3660,2009-01-21,2541,1600027527,15,15,15,47.85,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2541,NORWOOD,ARLINGTON,TX,19100,MAINSTREAM,300.0,29231,11019.352564
3694,3694,2009-01-21,4245,1600027527,37,37,37,118.03,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4245,LAWRENCEBURG,LAWRENCEBURG,IN,17140,MAINSTREAM,,58563,19274.673077
3739,3739,2009-01-21,4259,1600027527,18,17,16,57.42,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4259,WARSAW AVENUE,CINCINNATI,OH,17140,VALUE,,48813,31177.333333
3782,3782,2009-01-21,4489,1600027527,45,44,44,143.55,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4489,SWEETWATER PLAZA,SUGAR LAND,TX,26420,UPSCALE,,49030,21344.794872
3823,3823,2009-01-21,4503,1600027527,67,63,63,213.73,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4503,ROCKWALL,ROCKWALL,TX,19100,UPSCALE,,56230,25289.326923
